,trial,model,nrbf,opttype,gpscaler,runidx,gainmse,tlength,runtime,posmse,poscorr,wtcorr,wtmse,posmse_p,poscorr_p,wtcorr_p,wtmse_p,wtcorr_pv,poscorr_pv,wtcorr_pf,poscorr_pf,wtcorr_pvi,poscorr_pvi,wtcorr_pif,poscorr_pif,wtcorr_pvf,poscorr_pvf,wtcorr_pvif,poscorr_pvif,posmse_pv,wtmse_pv,posmse_pf,wtmse_pf,posmse_pvi,wtmse_pvi,posmse_pif,wtmse_pif,posmse_pvf,wtmse_pvf,posmse_pvif,wtmse_pvif
183,56,pvi,20,second,1,2,0.0024305850677095735,236,2.5827438831329346,,,,,,0.8299937129946926,-0.07599196314906917,,0.9768402165765734,0.9425623199379106,-0.9768402168365145,-0.6908071029168948,0.9997984372156465,0.9999868217066995,-0.9004743740155011,0.8467471114442002,0.980784784881158,0.9552903769651873,0.9997934136410036,0.9999856233114898,,,,,1.7008681036028363e-05,6.844001762280705e-05,,,,,,
184,163,pvi,20,second,1,1,0.32088982383803827,103,1.7063238620758057,,,,,,0.9985695347697955,-0.040709148670667356,,0.9961930997114108,0.9907479880295327,-0.02942187006384077,0.9985056287280706,0.9991225812397578,0.9995696380991156,-0.3598581186574697,0.995214882700301,0.9962712648147151,0.9912501097101675,0.9991317749767934,0.9995693497813603,,,,,0.0001628488925068963,0.00026853573097526304,,,,,,
185,163,pvi,20,second,1,2,0.05556307231378022,103,1.9776949882507324,,,,,,0.8056599881317196,-0.5186408160951632,,0.5186408160950865,0.762912182051309,0.935485162896285,0.99705561851894,0.9998079959658518,0.9997835286501989,0.9136958362490862,0.9968025939264351,0.9301794081149772,0.9831324682132654,0.5402288831272191,0.9611911037837347,,,,,7.79801477673174e-05,0.0001461570730188116,,,,,,
186,278,pvi,20,second,1,1,0.035326146794928015,146,3.4178850650787354,,,,,,0.9788944970296937,0.7614699330917853,,0.9807311998176417,0.9916368647090006,0.8784161610934696,0.9945606587316351,0.9957855382250042,0.9999042659177263,0.8701338052938917,0.9958960034954264,0.9798866022455679,0.99190731657263,0.9960339507480911,0.9998946177929108,,,,,0.00016650046091042363,0.0009757240107572582,,,,,,
187,278,pvi,20,second,1,2,1.0684668936829274,146,2.0765740871429443,,,,,,0.021471489847907983,-0.6649485014086276,,-0.05369233185645337,0.9962438593836781,0.37534457346252686,0.9915768065441912,0.004269438622087776,0.9997573884702723,-0.6347908575338904,0.9613053761519174,-0.02096002036258401,0.9964225840165362,0.02431538571029748,0.9997702169130239,,,,,0.0012502995774933466,0.05246329269242724,,,,,,
188,294,pvi,20,second,1,1,112.29464423537814,277,4.659187078475952,,,,,,-0.39035838658302807,0.7134156224674798,,-0.4465416368125345,0.9493207994371502,-0.6849606133948545,0.7343425686983166,0.7879412651798684,0.9902490760801926,-0.6967326609296188,0.7975910680834314,-0.5600605854715743,0.9418120510594531,0.7853596680398369,0.9906387448053721,,,,,0.0251042775221006,0.08814674454700502,,,,,,
189,294,pvi,20,second,1,2,0.0052707789117399,277,4.174230098724365,,,,,,-0.07200217246034991,-0.9315280064464716,,0.6303570351696587,0.9926942754413113,-0.7575620300815198,0.6705944086146624,0.999941540925503,0.9999756961545755,-0.7442460489644039,0.6724149508603016,0.6503311929795765,0.9924806576973203,0.9999273622438686,0.9999631137134286,,,,,2.7705291109223648e-05,0.00025194637451568687,,,,,,
190,34,pvi,20,second,3,1,0.0936734432280386,79,1.7405579090118408,,,,,,0.9656369313190205,0.20079999652653252,,-0.05518775767310184,0.9986278804654618,0.20079999607812965,0.9666683647956263,0.9560697951476824,0.9999882420155694,0.061196726667008025,0.957160695668345,-0.055249010048498096,0.9986182242740426,0.9561123246033991,0.9999879483632582,,,,,2.010709995582739e-06,0.007226792441868361,,,,,,
191,34,pvi,20,second,3,2,0.11145341718081893,79,1.6581058502197266,,,,,,0.9879114951709418,0.7580669134699041,,0.7709147354177693,0.9999284135846135,0.7586141009058193,0.9884684697402693,0.9053120909620492,0.9999831650109702,0.7589215818047677,0.9884706587295417,0.5420808973705807,0.9999793663295988,0.5423891701752338,0.9828829617718693,,,,,5.994599894696182e-06,0.01708304981669957,,,,,,
192,105,pvi,20,second,3,1,0.19350757452891265,191,2.4542629718780518,,,,,,0.8959694815703824,-0.3950236545258844,,0.3666156991248224,0.9669129475592549,-0.3950236560274895,0.8961169360453942,0.98344895159134,0.9986373569453193,-0.3950236558599085,0.8955719011020349,-0.2990544765912851,0.9714504144182142,0.982542645337354,0.998691408510822,,,,,0.0013478877037949254,0.0028449096052500043,,,,,,
193,105,pvi,20,second,3,2,182.2328453481513,191,4.106649160385132,,,,,,0.9763419202016138,0.7870776865744875,,-0.8509589165015071,0.786924594499734,-0.7576879105125353,0.9701776697780231,-0.10372224644783377,0.8914473373081998,-0.7539561184189613,0.9710504052452877,0.7473553402127994,0.9800337819049273,0.8151864522961654,0.9988511887596075,,,,,0.09958890198007521,0.18045046833967238,,,,,,
